FIPS,beta,gamma,SUSCEPTIBLE,INFECTED,RECOVERED,US
47163,2.7065162084234006e-06,5.343634565348764e-06,0.9996589789577387,4.420643140424887e-05,0.00029681461085709956,1
47165,4.070259398751738e-05,5.589784608306902e-05,0.9963770957168175,0.000522785610848847,0.0031001186723336625,1
47167,7.769142820036503e-05,5.2448403882680416e-05,0.9974350232958328,0.0010389779054854787,0.0015259987986817967,1
47169,0.008292398845394237,0.00020451013006844273,0.8797412265154201,0.11600496277915633,0.004253810705423609,1
47171,2.9169036927284206e-05,1.5528506587861765e-05,0.9998881619415086,5.59190292456523e-05,5.59190292456523e-05,1
47173,2.0055430420187356e-05,2.0772086590304595e-05,0.9998497897055878,0.0,0.00015021029441217705,1
47175,2.0055430420187356e-05,3.2148617054968554e-05,0.9996594005449592,0.0,0.0003405994550408719,1
47177,1.2113283426605616e-05,1.8635820656316332e-06,0.9997092811977615,0.00016958596797247863,0.00012113283426605616,1
47179,6.625258799171843e-06,4.162021553325901e-06,0.999528502415459,6.956521739130434e-05,0.00040193236714975843,1
47181,2.9632440647984044e-05,1.886364581203035e-05,0.9998200683740178,5.997720866070893e-05,0.00011995441732141786,1
47183,1.714560043892737e-05,2.538867757302707e-05,0.999279884781565,0.0001500240038406145,0.0005700912145943351,1
47185,3.1345505838100463e-05,2.04756297703785e-05,0.9994148838910222,0.0004388370817334065,0.00014627902724446883,1
47187,1.7976084617025506e-05,2.0326803374636538e-05,0.998150260892908,0.00018455446873479522,0.0016651846383571296,1
47189,4.83903302294393e-05,3.403275972180346e-05,0.9979468674174081,0.00044242587638344496,0.0016107067062084794,1
48001,2.8455133677269298e-05,1.998521094390151e-05,0.9992898588377934,0.00038105135533038885,0.00032908980687624493,1
48003,3.706896702302433e-05,5.4364349998180405e-05,0.9988773055332799,0.00010692328254477412,0.0010157711841753542,1
48005,5.2717852406487595e-05,1.7741584944491016e-05,0.9988467969786081,0.0007380499336908263,0.0004151530877010898,1
48007,2.0055430420187356e-05,1.6844033726283817e-05,0.9999149298170991,0.0,8.507018290089324e-05,1
48009,4.613843984243548e-05,3.9634151758102484e-05,0.9981352162333779,0.0001798691927661155,0.0004633514375538921,1
48011,2.0055430420187356e-05,5.503137784301413e-05,0.9989401165871754,0.0,0.0010598834128245894,1
48013,1.117096888605891e-05,7.518921365616574e-06,0.9995699176978867,0.00015639356440482475,0.0002736887377084433,1
48015,7.135246213562675e-06,3.6169312675216236e-05,0.9995005327650506,9.989344698987746e-05,0.00039957378795950983,1
48017,4.190160582460837e-05,2.0253287155433926e-05,0.9997142857142857,0.00014285714285714287,0.00014285714285714287,1
48019,2.0055430420187356e-05,2.642329472014581e-05,0.9997403946002077,0.0,0.00025960539979231567,1
48021,4.105876878438671e-05,2.6877082432011816e-05,0.9987827282666276,0.000563551728413151,0.0006537200049592552,1
48023,4.024659253639466e-05,3.524288511294718e-05,0.9980020922772892,0.0001287124284636054,0.0003819041876187281,1
48025,2.0055430420187356e-05,9.448558504293188e-06,0.9998157531091663,0.0,0.00018424689083371717,1
48027,1.0824777167041664e-05,1.3565035442894167e-05,0.9993938124786457,0.0001515468803385833,0.00045464064101574984,1
48029,1.679158991614758e-05,2.3458314575000222e-05,0.9990991008977048,0.00023508225882606609,0.0006658168434691553,1
48031,2.0055430420187356e-05,4.12831928189414e-05,0.9994971083731455,0.0,0.0005028916268544129,1
48033,3.1883258719954693e-05,2.8424378254646962e-05,0.9978583407784877,7.347172079240749e-05,0.0002939548463021854,1
48035,2.894836848885571e-05,2.4329568429417756e-05,0.9997324056729997,5.3518865400053516e-05,0.00021407546160021407,1
48037,6.894280045655454e-06,2.8873480533086944e-05,0.9991849428923802,8.579548501260121e-05,0.0007292616226071103,1
48039,4.332312408964185e-05,3.946206626667478e-05,0.9982792894854968,0.0005317102366244148,0.0011890002778787167,1
48041,2.3372101937266783e-05,1.5773172384329792e-05,0.9988831251554244,0.00032720942712173497,0.0007896654174537871,1
48043,2.0055430420187356e-05,1.8215146518442013e-05,0.9998913397805064,0.0,0.00010866021949364337,1
48045,2.0055430420187356e-05,4.6841758192555716e-05,0.999353169469599,0.0,0.000646830530401035,1
48047,2.0055430420187356e-05,2.0179172950452402e-05,0.9998590159311997,0.0,0.00014098406880022558,1
48049,3.961546587787872e-05,1.4220936468982105e-05,0.9989964081977604,0.0005546165222903021,0.0004489752799492922,1
48051,1.5491746771907266e-05,2.0854274500644397e-05,0.9991866832944749,0.00021688445480670172,0.0005964322507184298,1
48053,1.779966477298011e-05,1.2779246503678027e-05,0.9994600768352196,0.00024919530682172153,0.0002907278579586751,1
48055,2.6173899387530754e-05,7.0468190658736646e-06,0.9994045437889337,0.0003435324294613411,0.0002519237816049835,1
48057,3.355029188753942e-05,3.974419192831593e-05,0.998309065288868,0.0004697040864255519,0.001221230624706435,1
